leuven;15.43.1.220;15.43.8;
leuven;15.43.1.220;15.43.7;
leuven;15.43.1.220;15.43.6;
leuven;15.43.1.220;15.43.5;
leuven;15.43.1.220;15.43.4;
leuven;15.43.1.220;15.43.3;
aarschot;15.43.31.220;15.43.31;
diestvl;15.43.34.220;15.3.34;
diestvl;15.43.34.220;15.3.45;
diestvl;15.43.34.220;15.43.45;
diestvl;15.43.34.220;15.43.34;
haacht;15.43.36.220;15.43.36;
haacht;15.43.36.220;15.43.63;
haacht;15.43.36.220;15.43.65;
haacht;15.43.36.220;15.43.64;
lubbevl;15.43.42.220;15.3.33;
lubbevl;15.43.42.220;15.43.42;
lubbevl;15.43.42.220;15.43.59;
lubbevl;15.43.42.220;15.43.58;
dijlelnd;15.43.43.220;15.3.32;
dijlelnd;15.43.43.220;15.43.43;
dijlelnd;15.43.43.220;15.43.66;
dijlelnd;15.43.43.220;15.43.60;
dijlelnd;15.43.43.220;15.43.52;
tervuvl;15.43.46.220;15.43.46;
wavre;15.44.1.220;15.44.1;
wavre;15.44.1.220;15.44.6;
brainela;15.44.32.220;15.4.32;
ardebrab;15.44.36.220;15.4.31;
ardebrab;15.44.36.220;15.4.36;
ardebrab;15.44.36.220;15.44.50;
ardebrab;15.44.36.220;15.44.36;
ardebrab;15.44.36.220;15.44.31;
ardebrab;15.44.36.220;15.44.30;
ottlln;15.44.43.220;15.44.43;
ottlln;15.44.43.220;15.44.44;
tubize;15.44.47.220;15.4.45;
tubize;15.44.47.220;15.44.29;
tubize;15.44.47.220;15.44.51;
tubize;15.44.47.220;15.44.47;
tubize;15.44.47.220;15.44.33;
waterloo;15.44.49.220;15.4.49;
waterloo;15.44.49.220;15.44.49;
boraine;16.1.35.220;16.1.35;
boraine;16.1.35.220;16.1.39;
boraine;16.1.35.220;16.41.51;
boraine;16.1.35.220;16.41.48;
boraine;16.1.35.220;16.41.39;
boraine;16.1.35.220;16.41.35;
boraine;16.1.35.220;16.41.32;
boraine;16.1.35.220;16.1.51;
boraine;16.1.35.220;16.1.48;
labotte;16.2.48.220;16.2.32;
labotte;16.2.48.220;16.2.38;
labotte;16.2.48.220;16.42.61;
labotte;16.2.48.220;16.42.60;
labotte;16.2.48.220;16.2.48;
labotte;16.2.48.220;16.2.45;
binche;16.2.54.220;16.2.54;
binche;16.2.54.220;16.42.31;
binche;16.2.54.220;16.42.54;
mouscron;16.3.44.220;16.3.44;
mouscron;16.3.44.220;16.43.44;
mouscron;16.3.44.220;16.43.57;
mouscron;16.3.44.220;16.43.56;
dino;16.3.47.220;16.3.35;
dino;16.3.47.220;16.3.47;
dino;16.3.47.220;16.43.47;
mons;16.41.1.220;16.1.49;
mons;16.41.1.220;16.41.1;
mons;16.41.1.220;16.41.66;
mons;16.41.1.220;16.41.65;
mons;16.41.1.220;16.41.10;
mons;16.41.1.220;16.41.9;
mons;16.41.1.220;16.41.8;
mons;16.41.1.220;16.41.7;
mons;16.41.1.220;16.41.6;
mons;16.41.1.220;16.41.5;
